X_Error,Y_Error,Z_Error,Clock_Error
0.25410226176020667,-0.35364528781778737,0.45452987940717,0.3423665561279884
0.2082435953078911,-0.28641290341596637,0.36935671012148097,0.27784939850228296
0.15524305785651366,-0.18906793563650215,0.2561188456776954,0.1926066884168931
0.11352591119274863,-0.12383222207187117,0.18045331643478874,0.13918779978413975
0.07933461167764766,-0.07739152395716409,0.12724142982262754,0.10284845670639231
0.0900753765491502,1.0497245786041076,-0.6498469791979276,-0.36964786333483557
0.06606830894662016,0.7898723654099904,-0.49242570948590025,-0.2785120261750659
0.049221952328728974,0.6030301473600856,-0.379621167797927,-0.2049245369858116
0.039041234321359905,0.4631437027554158,-0.2878670359831184,-0.1488752764092388
-0.003834521420535756,0.318132818798596,-0.24336130171815784,-0.26324139896143445
-0.03421121862807593,0.20603701057278356,-0.20592604096606504,-0.34345693464348426
-0.05163143435102563,0.1221739638993663,-0.17504897000338138,-0.40625707042640086
-0.06144120714911648,0.06752253713930945,-0.16097461636027088,-0.4580625763537596
-0.11490972377318232,-0.006465068557037212,-0.109470429997223,-0.19484040528066637
-0.15502547856656895,-0.061981204036503645,-0.06941596689816432,0.004160053444422607
-0.18468821709154032,-0.10429120524916241,-0.04025094574733612,0.1441669098027657
-0.2104167967264608,-0.1394965983039551,-0.02501935701544855,0.25484118885460416
-0.18739249561524685,-0.11496880249992825,-0.0003929257315266055,0.16890594065061124
-0.16943783125331507,-0.09538320838603498,0.022095594983868927,0.10339517655693686
-0.15773140218273268,-0.0821140097085305,0.04014883462172103,0.05753118106921167
-0.1511485389341951,-0.07443684796878419,0.04757201812758893,0.019222770197495822
-0.12620125161098494,-0.0631121655339123,0.10704402355618226,0.11450220322042128
-0.10540515855580579,-0.05272892611136887,0.1468718647560997,0.18054945884122703
-0.08870019985171318,-0.04255762495713261,0.1719529393390853,0.22059740325907887
-0.16376835494441744,-0.08403887469185212,0.5754620557674716,0.74564188939713
-0.13567122866450365,-0.07357439135442934,0.49820964189569306,0.6429650066870324
-0.11385275218003765,-0.06218295456051354,0.43534283883562586,0.5666484221715191
-0.10422058418370284,-0.04940447480088328,0.39544535218251786,0.5225528362326868
-0.04405044413906023,-0.06430370997190493,0.32808436566680366,0.08737801119161892
0.0008051987069677136,-0.07568910828883971,0.2806181481221256,-0.22744431599510617
0.0325991264856379,-0.08362517984150418,0.24519713098645046,-0.4597187510904246
