wavelet,level,mode,X_Error_p,X_Error_kurt,X_Error_pass,Y_Error_p,Y_Error_kurt,Y_Error_pass,Z_Error_p,Z_Error_kurt,Z_Error_pass,Clock_Error_p,Clock_Error_kurt,Clock_Error_pass,n_gaussian,avg_p,avg_kurt,score
db4,3,soft,0.641923727632681,0.4860174164801596,True,0.5136281963232215,0.1656909668753439,True,0.4668410558221421,0.19718467931458994,True,0.03767591218150005,0.5314425074284275,False,3,0.41501722298988614,0.34508389252463023,3.3805088337374234
coif3,3,soft,0.03240625586823101,0.23521213389110773,False,0.7187778843026986,-0.07892096794157855,True,0.4723187990756659,-0.01689234139035012,True,0.20888513542404336,0.4328214486432951,True,3,0.3580970186676597,0.19096172296658287,3.3390008463710013
db4,5,soft,0.38786697874605003,0.593474110115729,True,0.48099846739874835,-0.016326422236119686,True,0.5094006773919864,-0.22993492392696524,True,0.0015654929300264186,0.9360848973365963,False,3,0.3449579041167028,0.44395508840385256,3.3005623952763177
db6,5,hard,0.21056841403872378,0.335600067081264,True,0.13876981604306998,0.6432382696121546,True,0.010870425799468682,1.1263231393921265,False,0.760564664943562,0.04129565367006016,True,3,0.2801933302062061,0.5366142824389013,3.226531901962316
db6,3,hard,0.2080683261454072,0.3344414671946354,True,0.07854268265378586,0.6733875027460403,True,0.009833470899387364,1.1334001787817725,False,0.8269361285135417,0.04863035173802066,True,3,0.2808451520530305,0.5474648751151172,3.2260986645415186
db6,4,hard,0.2080217124043035,0.33444132408167393,True,0.13877088775823337,0.6432390227101634,True,0.010530943496339562,1.1261235859065382,False,0.760572671402554,0.04129497840316976,True,3,0.2794740537653576,0.5362747277753863,3.225846580987819
sym6,3,hard,0.4548113785063285,-0.01912604243392435,True,0.08745036699827986,0.9530648420832675,True,0.0492511515501988,0.16625878930193805,False,0.3576766212584583,0.29051996979001293,True,3,0.23729737957831637,0.3572424109022857,3.2015731384880874
coif3,5,hard,0.2621134193527611,0.3629761358277408,True,0.0035467288246179406,0.6635844767660197,False,0.41152659709041195,0.3473835108962193,True,0.29694325475205796,0.5871631935930379,True,3,0.24353250000496224,0.49027682927075444,3.194504817077887
coif3,4,hard,0.2651505237228854,0.3666364877321153,True,0.0035513355064966737,0.6634926606747107,False,0.3650795741499715,0.3405701298822441,True,0.29594335856879717,0.5892036553519637,True,3,0.23243119798703768,0.48997573341025846,3.1834336246460118
coif3,3,hard,0.26444763809787564,0.3691642161545836,True,0.003551335505581744,0.6634926604679241,False,0.36507957414992537,0.34057012988226587,True,0.29565001654886836,0.5888290723013978,True,3,0.23218214107556276,0.49051401970154285,3.1831307391054082
sym6,5,soft,0.17578612491257262,-0.2725275740362423,True,0.03819070267030422,0.6367884319359698,False,0.528264632392927,0.39575122290989917,True,0.15752769223403346,0.5604464180758639,True,3,0.2249422880524593,0.4663784117394938,3.17830444687851
sym6,4,hard,0.46236873595771755,-0.017566588213360657,True,0.08745036698115281,0.95306484206397,True,0.029388158232252482,0.08635242965509216,False,0.2223225884940353,0.3570397703924262,True,3,0.20038246241628954,0.35350590758121225,3.1650318716581682
sym6,5,hard,0.4572649446487763,-0.017790192280355832,True,0.08745036701092185,0.9530648419697556,True,0.03247993315272908,0.08051408108286173,False,0.22208607405277347,0.3570364712269676,True,3,0.19982032971630018,0.3521013966399852,3.164610190052302
db8,3,hard,0.006672951829097373,1.1024309766551559,False,0.16144673035644586,0.8555672044134037,True,0.09549127354014922,0.47493462213320425,True,0.11063181534125022,0.4165015346984555,True,3,0.09356069276673568,0.7123585844750548,3.02232483431923
db8,4,hard,0.006677039920107981,1.1025844446904625,False,0.06327699142391874,0.9829667831670563,True,0.0954912735401704,0.47493462213321,True,0.14732914006581954,0.3822303623953074,True,3,0.07819361123750417,0.735679053096509,3.0046257059278534
db8,5,hard,0.005153173139486181,1.1175454726816145,False,0.06327699142394336,0.9829667831670643,True,0.057914272208284344,0.5364391624539118,True,0.1470137638940367,0.3828377852638365,True,3,0.06833955016643764,0.7549473008916068,2.992844820077277
db4,4,soft,0.9443261084108658,0.20371312110338335,True,0.04447552465342262,0.18472123455609069,False,0.18568474896498627,0.1453058416888804,True,0.010785339409893256,0.7495652788402771,False,2,0.29631793035979204,0.3208263690471579,2.2642352934550765
